Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0967240490462767,-6.50785287934919E-06,0.570595021546874,0,0,0,732.561419245809,55.0439847447433,0.0010546737252786,-13.2136142377722,215.138264753584,0.00166435387234733,233.631575009062,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,GH275.stp-1/eBom-prt51.stp-1;GH275.stp-1/eBom-prt54.stp-1;GH275.stp-1/eBom-prt52.stp-1;GH275.stp-1/eBom-prt53.stp-1;GH275.stp-1/eBom-prt55.stp-4;GH275.stp-1/eBom-prt55.stp-1;GH275.stp-1/eBom-prt55.stp-2;GH275.stp-1/eBom-prt55.stp-3;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-3;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-4;GH275.stp-1/eBom-asm1.stp-1/eBom-prt1.stp-2;GH275.stp-1/eBom-asm1.stp-1/eBom-prt1.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt2.stp-2;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-2;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt2.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-4;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-3;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-2,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_wheel_front,-2.55500666828112E-05,-0.00431559968288031,2.73318019217081E-05,0,0,0,15.9113277105509,0.256653495251073,3.31407246755754E-05,3.06050778192747E-05,0.446525377478014,-3.54358257007596E-05,0.256649431563068,0,0,0,0,0,0,package://arm/meshes/l_wheel_front.STL,0.764705882352941,0.764705882352941,0.764705882352941,1,0,0,0,0,0,0,package://arm/meshes/l_wheel_front.STL,,GH275.stp-1/eBom-asm2.stp-1/5.50A-8-00.stp-1;GH275.stp-1/eBom-asm2.stp-1/AS-16x6.50-8-01.stp-1,Coordinate System5,Axis1,base_l_wheel_front,continuous,0.86,0.52594,0.2225,0,0,0,base_link,0,-1,0,500000,1000000,-1000000,1000000,,,,,,,,
r_wheel_front,-2.55500666830333E-05,0.0026266099414507,2.73318019217567E-05,0,0,0,15.911327710551,0.256653495251073,3.31407246756984E-05,3.06050778195969E-05,0.446525377478014,-3.54358257008297E-05,0.256649431563068,0,0,0,0,0,0,package://arm/meshes/r_wheel_front.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/r_wheel_front.STL,,GH275.stp-1/eBom-asm2.stp-2/AS-16x6.50-8-01.stp-1;GH275.stp-1/eBom-asm2.stp-2/5.50A-8-00.stp-1,Coordinate System6,Axis2,base_r_wheel_front,revolute,0.86,-0.525,0.2225,0,0,0,base_link,0,1,0,50000,50000,-1000000,1000000,,,,,,,,
l_wheel_back,-2.55500666831443E-05,-0.00337339005854931,2.73318019218954E-05,0,0,0,15.911327710551,0.256653495251073,3.31407246756691E-05,3.06050778194563E-05,0.446525377478015,-3.5435825700846E-05,0.256649431563068,0,0,0,0,0,0,package://arm/meshes/l_wheel_back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/l_wheel_back.STL,,GH275.stp-1/eBom-asm2.stp-3/AS-16x6.50-8-01.stp-1;GH275.stp-1/eBom-asm2.stp-3/5.50A-8-00.stp-1,Coordinate System4,Axis3,base_l_wheel_back,revolute,-0.86,0.525,0.2225,0,0,0,base_link,0,-1,0,50000,50000,-1000000,1000000,,,,,,,,
r_wheel_back,-2.55500666828112E-05,0.0026266099414507,2.73318019219301E-05,0,0,0,15.911327710551,0.256653495251073,3.31407246756816E-05,3.06050778197023E-05,0.446525377478014,-3.54358257007741E-05,0.256649431563068,0,0,0,0,0,0,package://arm/meshes/r_wheel_back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/r_wheel_back.STL,,GH275.stp-1/eBom-asm2.stp-4/AS-16x6.50-8-01.stp-1;GH275.stp-1/eBom-asm2.stp-4/5.50A-8-00.stp-1,Coordinate System7,Axis4,base_r_wheel_back,revolute,-0.86,-0.525,0.2225,0,0,0,base_link,0,1,0,50000,50000,-1000000,1000000,,,,,,,,
l_arm_base,0.00239712888314969,-0.0158368799430925,0.414177649362131,0,0,0,3.29772675117286,0.208963980014046,-7.51708182043629E-05,0.0010210620535329,0.211111487766926,-0.000381588032890232,0.0149413039777907,0,0,0,0,0,0,package://arm/meshes/l_arm_base.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://arm/meshes/l_arm_base.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-asm4.stp-1/eBom-prt6.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-prt46.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-prt47.stp-1;GH275.stp-1/eBom-asm3.stp-1/Group-1.stp-1/SMB-JACK-TO-FAKRA-PLUG-ADAPTER.stp-1,Coordinate System13,Axis5,base_l_arm_base,fixed,0.3455,0.27507,0.8625,0,0,0,base_link,0,0,0,,,,,,,,,,,,
l_arm_link_1,0.000125636870941748,0.0804188199431082,0.556535036595727,0,0,0,0.99376961560053,0.0034290734895918,1.44752336404463E-05,2.09107970542602E-06,0.000950241498545379,7.33029796466367E-05,0.0039252957485201,0,0,0,0,0,0,package://arm/meshes/l_arm_link_1.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://arm/meshes/l_arm_link_1.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-prt42.stp-1,Coordinate System13,Axis5,l_arm_base_l_arm_link1,prismatic,0,0,0,0,0,0,l_arm_base,0,0,-1,100000,1000,0.3,0.7,,,,,,,,
l_arm_link_2,-0.0854570113219301,0.0709105321317886,-0.0984483167347359,0,0,0,2.16979338726156,0.00866799275524474,0.00727661797303508,-7.28447678409941E-05,0.0113873692649047,6.03025196983547E-05,0.0186444325786857,0,0,0,0,0,0,package://arm/meshes/l_arm_link_2.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://arm/meshes/l_arm_link_2.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-prt43.stp-1,Coordinate System14,Axis6,l_arm_link_1_l_arm_link_2,revolute,-2.3854E-05,0.13193,0.59176,0,0,0,l_arm_link_1,0,0,1,5000,5000,-3.14,3.14,,,,,,,,
l_arm_link_3,0.0699396065905298,-0.0737302141498409,-0.0926276756075906,0,0,0,1.46789098760177,0.00546308340369262,0.00380182327080884,1.85741775412589E-05,0.00506145717588312,-1.95812221911357E-05,0.0100016298513614,0,0,0,0,0,0,package://arm/meshes/l_arm_link_3.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://arm/meshes/l_arm_link_3.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-prt44.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-prt45.stp-1;GH275.stp-1/eBom-asm3.stp-1/Group.stp-1/Plastron.stp-1,Coordinate System15,Axis7,l_arm_link_2_l_arm_link_3,revolute,-0.16927,0.14052,-0.063,0,0,1.5708,l_arm_link_2,0,0,1,5000,5000,-3.14,3.14,,,,,,,,
gripper_base,0.0543458315585676,-0.0572916796759554,-0.0816562372115427,0,0,0,0.0925048801703324,0.000147219616118056,5.76193415562662E-05,4.08521109396145E-06,0.000141134395256371,-4.30486282246148E-06,0.000248120384234212,0,0,0,0,0,0,package://arm/meshes/gripper_base.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://arm/meshes/gripper_base.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt25.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt24.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt26.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt28.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt27.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt29.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt31.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt30.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt32.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt33.stp-1,Coordinate System16,Axis8,l_arm_link3_gripper_base,revolute,0.13764,-0.1451,-0.072,0,0,0,l_arm_link_3,0,0,1,5000,5000,-3.14,3.14,,,,,,,,
